Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas1             Pavarde1                 5     3     3     0     7     8
Vardas2             Pavarde2                 8     3     8     0     1     8
Vardas3             Pavarde3                 8     1     9     0     7     9
Vardas4             Pavarde4                 9     6     0     7    10     9
Vardas5             Pavarde5                 4     0     6     3     3     5
Vardas6             Pavarde6                 7     8     8     9     9     5
Vardas7             Pavarde7                 0     1    10     3     5     5
Vardas8             Pavarde8                 2     0     5     5     0     5
Vardas9             Pavarde9                 3     2     3     8     4    10
Vardas10            Pavarde10                6     5     0     9     5     0
Vardas11            Pavarde11                9     3     3     1     3     7
Vardas12            Pavarde12                3     5     7     3     5     5
Vardas13            Pavarde13                2     3     2     9     6     2
Vardas14            Pavarde14                1     3     2     7    10     5
Vardas15            Pavarde15                7     0     2     4     2     5
Vardas16            Pavarde16                3     2    10     5     4     0
Vardas17            Pavarde17                0     7     9     6     0     5
Vardas18            Pavarde18                5     1     0     5     5     3
Vardas19            Pavarde19                4     1     1     8     4     1
Vardas20            Pavarde20                8     1     4     4     8     7
Vardas21            Pavarde21                9     6     8     2     5    10
Vardas22            Pavarde22                1     6     2    10     6     0
Vardas23            Pavarde23                0     5     0     9     1     5
Vardas24            Pavarde24                5     0     5     7     5     0
Vardas25            Pavarde25                4    10     1     3     6     8
Vardas26            Pavarde26                1     8     1     4     9     6
Vardas27            Pavarde27                3     1     5     7     4     3
Vardas28            Pavarde28                0    10     2    10     9     2
Vardas29            Pavarde29                6     2     7     7    10     8
Vardas30            Pavarde30                6     1     0     3     6     2
Vardas31            Pavarde31                6     7     9     4     5     9
Vardas32            Pavarde32               10     4     2     2     0     4
Vardas33            Pavarde33                6     0     9     1     4     5
Vardas34            Pavarde34                6     8     8     5     0     5
Vardas35            Pavarde35                0     5     3     7     8     9
Vardas36            Pavarde36                0     1     3     1     4     7
Vardas37            Pavarde37                2     2     4    10    10    10
Vardas38            Pavarde38                1     3     8    10     0     6
Vardas39            Pavarde39                1     0    10     8     5     3
Vardas40            Pavarde40                7     0     1     6     3     4
Vardas41            Pavarde41                2     8     4     7     2    10
Vardas42            Pavarde42                7     2     8     6     1     9
Vardas43            Pavarde43                2     8     9     0     6     9
Vardas44            Pavarde44                6     9    10     7     1     3
Vardas45            Pavarde45                0     6     9     9     3     5
Vardas46            Pavarde46                0     9     9    10     1    10
Vardas47            Pavarde47               10     1     2     7     3     6
Vardas48            Pavarde48                7     2     8     2     9    10
Vardas49            Pavarde49                8     8    10     4     4     3
Vardas50            Pavarde50                6     6     2     9     0     6
Vardas51            Pavarde51                9     1     8     1     5     9
Vardas52            Pavarde52                2     4    10    10     7     4
Vardas53            Pavarde53                2     3     6     3     2     2
Vardas54            Pavarde54                8     3     4     3     5     5
Vardas55            Pavarde55                3     2     8     1     2    10
Vardas56            Pavarde56                1     4    10     9     3     6
Vardas57            Pavarde57                3     3     9     8    10     3
Vardas58            Pavarde58                2     7     7     7     9    10
Vardas59            Pavarde59                2     5     9     2     8     0
Vardas60            Pavarde60                2     4     8     6     5     9
Vardas61            Pavarde61                9     5    10     3     6     2
Vardas62            Pavarde62                1     2     9     1     6     1
Vardas63            Pavarde63                2     7     7     5    10     0
Vardas64            Pavarde64                2     0     4     0     9     6
Vardas65            Pavarde65                0     7     0     1     5     7
Vardas66            Pavarde66                6     2     3     8     7     6
Vardas67            Pavarde67                0     6     7    10     5     6
Vardas68            Pavarde68                6    10     3     5     7     0
Vardas69            Pavarde69               10     5     5     1     4     9
Vardas70            Pavarde70                6     3     4     8     1     5
Vardas71            Pavarde71                9    10     6     6     1     5
Vardas72            Pavarde72                7     7     1     4     9     3
Vardas73            Pavarde73                0     3     3     9     6    10
Vardas74            Pavarde74                5     9     2     4     6     9
Vardas75            Pavarde75                5     0     5     9     9     6
Vardas76            Pavarde76                0     1     3     0     6     0
Vardas77            Pavarde77                6     0     7     6     1     7
Vardas78            Pavarde78                3    10     1     8     0     1
Vardas79            Pavarde79                6     0     2     7     5     0
Vardas80            Pavarde80                8     3     5    10     5     8
Vardas81            Pavarde81                9     6     3     8     1     5
Vardas82            Pavarde82                5    10     2     4     5     5
Vardas83            Pavarde83                8     8     9     2     8    10
Vardas84            Pavarde84                8     1     5     1     5    10
Vardas85            Pavarde85                2     3     4     9     8     8
Vardas86            Pavarde86                4     2    10     1     8     6
Vardas87            Pavarde87                9    10    10     9    10     0
Vardas88            Pavarde88                1     0     2     9     3     4
Vardas89            Pavarde89                9     5     4     9     8     0
Vardas90            Pavarde90                0     1     0     4     4     5
Vardas91            Pavarde91                6     9    10     7     7     2
Vardas92            Pavarde92                7     9     6     3     3     8
Vardas93            Pavarde93                5     3     9     2     2     8
Vardas94            Pavarde94                6     6    10     5     2     2
Vardas95            Pavarde95                7     6     9     1     3     4
Vardas96            Pavarde96                3     0     7    10     1     9
Vardas97            Pavarde97                6     3     2     7     7     5
Vardas98            Pavarde98                6     0     8     9     1     2
Vardas99            Pavarde99               10     6     6     5    10     9
Vardas100           Pavarde100               4     9     5     9     8     1
Vardas101           Pavarde101               8     6     5     1     2     3
Vardas102           Pavarde102               1     7     1     3     0     1
Vardas103           Pavarde103               6     3     5     2     2     0
Vardas104           Pavarde104               9     7     0     4     3     1
Vardas105           Pavarde105               4     9    10     5     3     7
Vardas106           Pavarde106               7     9     6     5     1     6
Vardas107           Pavarde107               8    10     5     9     9     0
Vardas108           Pavarde108               7     6     1     0     8     6
Vardas109           Pavarde109               9     9     7     6     5     5
Vardas110           Pavarde110               0     0     2     5     4     4
Vardas111           Pavarde111               6     4     9     2     4     7
Vardas112           Pavarde112               8     4     3     4     7     8
Vardas113           Pavarde113              10     8     3     1     9     9
Vardas114           Pavarde114               4     3     0     8     9     2
Vardas115           Pavarde115              10     2     3     6     9     3
Vardas116           Pavarde116              10     0     2     1     2     6
Vardas117           Pavarde117               4     3     2     1     4     7
Vardas118           Pavarde118               9     0    10     2    10     8
Vardas119           Pavarde119               8     9     3     2     6     9
Vardas120           Pavarde120               8     4     3     9     9     2
Vardas121           Pavarde121              10     5    10     4     8     1
Vardas122           Pavarde122               7     4     3     7     4     7
Vardas123           Pavarde123               3     7     9     9     1     0
Vardas124           Pavarde124               1     1    10     6     3     2
Vardas125           Pavarde125              10    10     0     9     3     0
Vardas126           Pavarde126               7     9     1     7     8     5
Vardas127           Pavarde127               9    10     8     7     9    10
Vardas128           Pavarde128               5     0     1     6     1     1
Vardas129           Pavarde129               0     1     4     1     7     5
Vardas130           Pavarde130               6     8    10     3     4     1
Vardas131           Pavarde131               7     3     9     7     0     3
Vardas132           Pavarde132               3     1     8     0     7     9
Vardas133           Pavarde133              10     4    10    10     1     3
Vardas134           Pavarde134               1     8     7     2     7     8
Vardas135           Pavarde135               8    10     3     7     8     9
Vardas136           Pavarde136              10    10    10     5    10     5
Vardas137           Pavarde137              10     3     4    10     7     0
Vardas138           Pavarde138               3     6     5     7     4     1
Vardas139           Pavarde139               5     3     7     6     4     3
Vardas140           Pavarde140              10    10     4     9     3     0
Vardas141           Pavarde141               1     1     9     2     9     2
Vardas142           Pavarde142               3     9     7     1     2     5
Vardas143           Pavarde143               6     5     4     7    10     3
Vardas144           Pavarde144               6     9     2    10     7     1
Vardas145           Pavarde145               4     6     4     4     7     8
Vardas146           Pavarde146               1     0     3     2     6     3
Vardas147           Pavarde147               1     6     0     3     3     0
Vardas148           Pavarde148               1    10     2     4     2     9
Vardas149           Pavarde149               2     9     8     6     8     5
Vardas150           Pavarde150               4     0     0     1     9     4
Vardas151           Pavarde151               3     6     9    10     0     7
Vardas152           Pavarde152               8     9     3     4    10     3
Vardas153           Pavarde153               8     7     9     7     8     5
Vardas154           Pavarde154               0     3     8    10     1     3
Vardas155           Pavarde155               8     6     0     2     3     1
Vardas156           Pavarde156               7     6     6     2     8     3
Vardas157           Pavarde157               5     0     4     2     8     8
Vardas158           Pavarde158               5    10    10     3     2     7
Vardas159           Pavarde159               1     8     5     5     5     7
Vardas160           Pavarde160               1     1     4    10     7     1
Vardas161           Pavarde161               4     1     0     9     0     8
Vardas162           Pavarde162               1    10     2    10     7     8
Vardas163           Pavarde163               3    10    10     4     5     9
Vardas164           Pavarde164               0     7     0     3     4     5
Vardas165           Pavarde165               8     8     7     9     9     0
Vardas166           Pavarde166               6     5     2     3     9     6
Vardas167           Pavarde167               8     3     6     4     3     0
Vardas168           Pavarde168               6    10     2     1     3     3
Vardas169           Pavarde169               6     9     9     5     6     4
Vardas170           Pavarde170               7     5     3     4     4     2
Vardas171           Pavarde171               0     9     3     3     2     7
Vardas172           Pavarde172               8     2     6    10     4     2
Vardas173           Pavarde173               3     2     0     0     0     7
Vardas174           Pavarde174               2     7     8     3     0     6
Vardas175           Pavarde175               5     1     5     9     6     5
Vardas176           Pavarde176               8     5     8     3     9     2
Vardas177           Pavarde177               1     3     1     0     4     1
Vardas178           Pavarde178               0     3     3     3     7     5
Vardas179           Pavarde179               3     0     0    10     0     0
Vardas180           Pavarde180               2     7     5    10     6     7
Vardas181           Pavarde181               3     4    10     4     0     3
Vardas182           Pavarde182               9     5     2     4    10     1
Vardas183           Pavarde183               8     2     3     2     8     5
Vardas184           Pavarde184               5     1     1     8    10     5
Vardas185           Pavarde185               9     1     4     6     5     2
Vardas186           Pavarde186               1     2     5     3     7     8
Vardas187           Pavarde187               8     0     8     7     1     4
Vardas188           Pavarde188               0     2     6     7     5     4
Vardas189           Pavarde189               7     6     6    10     2     6
Vardas190           Pavarde190               6     7     2     7     7     7
Vardas191           Pavarde191               2     5     6     0     2     9
Vardas192           Pavarde192               7     0     9     6     0     0
Vardas193           Pavarde193               1     6     9     3     6     1
Vardas194           Pavarde194               4    10     4     1     5     5
Vardas195           Pavarde195               8     1     8     6     5    10
Vardas196           Pavarde196               5     7     2     5     7     0
Vardas197           Pavarde197               5     1    10     8     9     4
Vardas198           Pavarde198               3     3     8     6     9     8
Vardas199           Pavarde199               4     1    10     4     0     0
Vardas200           Pavarde200              10     7     0     2     6     2
Vardas201           Pavarde201               8     1     2     6     3    10
Vardas202           Pavarde202               8     5     8     2    10     9
Vardas203           Pavarde203              10     7     2     7     4     9
Vardas204           Pavarde204               5     3     7     7     5     0
Vardas205           Pavarde205               7     0     6     4     3     9
Vardas206           Pavarde206               1     2     1     9     9     8
Vardas207           Pavarde207               0     5     4     2     4     3
Vardas208           Pavarde208              10     8     6    10     2     7
Vardas209           Pavarde209               4     4    10    10     2     4
Vardas210           Pavarde210               0     5     4     3     7     5
Vardas211           Pavarde211               9     0    10     3     7     3
Vardas212           Pavarde212               4     0     1     3     6     9
Vardas213           Pavarde213               9     5     8     1     7     8
Vardas214           Pavarde214               4     9    10     6     2     0
Vardas215           Pavarde215               3     4     7     7     4     7
Vardas216           Pavarde216               4     6     9     8     7     0
Vardas217           Pavarde217               5     3    10     3     1     2
Vardas218           Pavarde218              10     1     2     4     2     1
Vardas219           Pavarde219               8     8     4     7     6     7
Vardas220           Pavarde220               5     5     8     8    10     6
Vardas221           Pavarde221               6     6     4    10     7     3
Vardas222           Pavarde222               2     8     4     5     0     0
Vardas223           Pavarde223               6     2    10     3     9     3
Vardas224           Pavarde224               5     8     8     9     9     4
Vardas225           Pavarde225               3     4     6     1     0     5
Vardas226           Pavarde226               0     1    10     9     4     9
Vardas227           Pavarde227               2     0     7     4     8     7
Vardas228           Pavarde228               4     0     9     8     7     7
Vardas229           Pavarde229               0     8     9    10     1     7
Vardas230           Pavarde230              10     1     6    10     2     5
