Pavarde        Vardas         Galutinis balas (vid.)        
Pavarde7       Vardas7        2.12                          
Pavarde8       Vardas8        4.20                          
Pavarde10      Vardas10       2.68                          
Pavarde13      Vardas13       4.88                          
Pavarde16      Vardas16       4.40                          
Pavarde17      Vardas17       4.88                          
Pavarde22      Vardas22       2.80                          
Pavarde23      Vardas23       4.52                          
Pavarde24      Vardas24       2.32                          
Pavarde29      Vardas29       1.88                          
Pavarde30      Vardas30       1.20                          
Pavarde32      Vardas32       4.84                          
Pavarde34      Vardas34       2.28                          
Pavarde35      Vardas35       3.60                          
Pavarde37      Vardas37       2.92                          
Pavarde38      Vardas38       4.48                          
Pavarde39      Vardas39       3.56                          
Pavarde40      Vardas40       4.56                          
Pavarde42      Vardas42       3.68                          
Pavarde43      Vardas43       2.04                          
Pavarde45      Vardas45       4.48                          
Pavarde47      Vardas47       2.32                          
Pavarde50      Vardas50       2.00                          
Pavarde51      Vardas51       1.60                          
Pavarde52      Vardas52       1.44                          
Pavarde54      Vardas54       4.20                          
Pavarde55      Vardas55       2.48                          
Pavarde56      Vardas56       3.68                          
Pavarde58      Vardas58       4.76                          
Pavarde61      Vardas61       4.92                          
Pavarde63      Vardas63       4.56                          
Pavarde65      Vardas65       2.28                          
Pavarde66      Vardas66       3.96                          
Pavarde67      Vardas67       4.60                          
Pavarde68      Vardas68       2.96                          
Pavarde69      Vardas69       1.72                          
Pavarde70      Vardas70       1.12                          
Pavarde71      Vardas71       4.56                          
Pavarde73      Vardas73       4.04                          
Pavarde74      Vardas74       2.64                          
Pavarde79      Vardas79       2.40                          
Pavarde81      Vardas81       2.48                          
Pavarde83      Vardas83       3.08                          
Pavarde84      Vardas84       3.92                          
Pavarde85      Vardas85       2.24                          
Pavarde87      Vardas87       3.28                          
Pavarde89      Vardas89       2.48                          
Pavarde94      Vardas94       2.40                          
Pavarde95      Vardas95       4.36                          
Pavarde98      Vardas98       4.52                          
Pavarde102     Vardas102      1.12                          
Pavarde103     Vardas103      4.96                          
Pavarde104     Vardas104      1.96                          
Pavarde105     Vardas105      4.12                          
Pavarde107     Vardas107      2.00                          
Pavarde110     Vardas110      3.04                          
Pavarde112     Vardas112      2.12                          
