Pavarde        Vardas         Galutinis balas (vid.)        
Pavarde2       Vardas2        5.68                          
Pavarde3       Vardas3        6.72                          
Pavarde4       Vardas4        5.40                          
Pavarde5       Vardas5        6.76                          
Pavarde6       Vardas6        7.00                          
Pavarde9       Vardas9        5.88                          
Pavarde11      Vardas11       6.04                          
Pavarde12      Vardas12       7.00                          
Pavarde14      Vardas14       7.32                          
Pavarde15      Vardas15       5.12                          
Pavarde18      Vardas18       5.80                          
Pavarde19      Vardas19       6.92                          
Pavarde20      Vardas20       6.24                          
Pavarde21      Vardas21       5.00                          
Pavarde25      Vardas25       5.76                          
Pavarde26      Vardas26       6.48                          
Pavarde27      Vardas27       5.04                          
Pavarde28      Vardas28       6.16                          
Pavarde31      Vardas31       6.08                          
Pavarde33      Vardas33       6.96                          
Pavarde36      Vardas36       6.84                          
Pavarde41      Vardas41       7.36                          
Pavarde44      Vardas44       7.08                          
Pavarde46      Vardas46       5.24                          
Pavarde48      Vardas48       5.40                          
Pavarde49      Vardas49       5.20                          
Pavarde53      Vardas53       7.08                          
Pavarde57      Vardas57       5.84                          
Pavarde59      Vardas59       5.96                          
Pavarde60      Vardas60       6.84                          
Pavarde62      Vardas62       5.12                          
Pavarde64      Vardas64       5.36                          
Pavarde72      Vardas72       6.60                          
Pavarde75      Vardas75       7.08                          
Pavarde76      Vardas76       5.44                          
Pavarde77      Vardas77       6.04                          
Pavarde78      Vardas78       5.96                          
Pavarde80      Vardas80       6.32                          
Pavarde82      Vardas82       6.60                          
Pavarde86      Vardas86       7.88                          
Pavarde88      Vardas88       6.08                          
Pavarde90      Vardas90       6.92                          
Pavarde91      Vardas91       6.40                          
Pavarde92      Vardas92       5.40                          
Pavarde93      Vardas93       6.80                          
Pavarde96      Vardas96       6.92                          
Pavarde97      Vardas97       5.28                          
Pavarde99      Vardas99       6.44                          
Pavarde100     Vardas100      8.44                          
Pavarde101     Vardas101      7.76                          
Pavarde106     Vardas106      5.24                          
Pavarde108     Vardas108      6.28                          
Pavarde109     Vardas109      6.88                          
Pavarde111     Vardas111      6.20                          
Pavarde116     Vardas116      6.20                          
Pavarde120     Vardas120      6.32                          
Pavarde122     Vardas122      5.80                          
Pavarde123     Vardas123      6.56                          
Pavarde124     Vardas124      7.32                          
Pavarde134     Vardas134      6.36                          
Pavarde138     Vardas138      5.56                          
Pavarde140     Vardas140      7.88                          
Pavarde146     Vardas146      5.96                          
Pavarde148     Vardas148      5.16                          
Pavarde153     Vardas153      6.76                          
Pavarde154     Vardas154      6.32                          
Pavarde155     Vardas155      5.60                          
Pavarde156     Vardas156      5.88                          
Pavarde157     Vardas157      7.32                          
Pavarde159     Vardas159      6.20                          
Pavarde163     Vardas163      7.40                          
Pavarde165     Vardas165      7.40                          
Pavarde168     Vardas168      6.04                          
Pavarde172     Vardas172      6.00                          
Pavarde173     Vardas173      6.84                          
Pavarde174     Vardas174      6.48                          
Pavarde176     Vardas176      7.00                          
Pavarde177     Vardas177      5.28                          
Pavarde179     Vardas179      7.76                          
Pavarde180     Vardas180      6.76                          
Pavarde182     Vardas182      5.52                          
Pavarde185     Vardas185      6.04                          
Pavarde187     Vardas187      6.12                          
Pavarde188     Vardas188      6.68                          
Pavarde189     Vardas189      5.76                          
Pavarde194     Vardas194      5.40                          
Pavarde195     Vardas195      5.56                          
Pavarde196     Vardas196      7.80                          
Pavarde199     Vardas199      6.76                          
Pavarde201     Vardas201      7.56                          
Pavarde205     Vardas205      5.48                          
Pavarde209     Vardas209      6.56                          
Pavarde216     Vardas216      6.00                          
Pavarde217     Vardas217      7.80                          
Pavarde221     Vardas221      6.00                          
Pavarde226     Vardas226      6.48                          
Pavarde228     Vardas228      5.76                          
Pavarde230     Vardas230      6.24                          
Pavarde234     Vardas234      6.68                          
Pavarde237     Vardas237      6.48                          
Pavarde245     Vardas245      7.72                          
Pavarde248     Vardas248      5.88                          
Pavarde253     Vardas253      6.20                          
Pavarde254     Vardas254      5.00                          
Pavarde259     Vardas259      7.88                          
Pavarde260     Vardas260      5.72                          
Pavarde261     Vardas261      6.80                          
Pavarde263     Vardas263      5.96                          
Pavarde265     Vardas265      5.24                          
Pavarde272     Vardas272      6.44                          
Pavarde273     Vardas273      5.64                          
Pavarde276     Vardas276      7.16                          
Pavarde278     Vardas278      5.52                          
Pavarde283     Vardas283      5.76                          
Pavarde285     Vardas285      7.32                          
Pavarde286     Vardas286      7.08                          
Pavarde288     Vardas288      6.48                          
Pavarde290     Vardas290      6.12                          
Pavarde291     Vardas291      6.40                          
Pavarde292     Vardas292      7.40                          
Pavarde293     Vardas293      6.40                          
Pavarde294     Vardas294      6.76                          
Pavarde295     Vardas295      6.64                          
Pavarde296     Vardas296      7.32                          
Pavarde297     Vardas297      6.88                          
Pavarde299     Vardas299      7.12                          
Pavarde300     Vardas300      6.44                          
Pavarde302     Vardas302      5.24                          
Pavarde304     Vardas304      7.40                          
Pavarde305     Vardas305      5.76                          
Pavarde309     Vardas309      7.16                          
Pavarde310     Vardas310      6.40                          
Pavarde312     Vardas312      7.04                          
Pavarde314     Vardas314      7.16                          
Pavarde315     Vardas315      6.56                          
Pavarde317     Vardas317      7.64                          
Pavarde319     Vardas319      6.28                          
Pavarde322     Vardas322      6.36                          
Pavarde323     Vardas323      6.04                          
Pavarde325     Vardas325      5.84                          
Pavarde326     Vardas326      7.28                          
Pavarde327     Vardas327      6.04                          
Pavarde331     Vardas331      6.04                          
Pavarde332     Vardas332      5.92                          
Pavarde334     Vardas334      7.72                          
Pavarde337     Vardas337      6.68                          
Pavarde342     Vardas342      7.96                          
Pavarde343     Vardas343      6.92                          
Pavarde347     Vardas347      6.88                          
Pavarde348     Vardas348      5.16                          
Pavarde350     Vardas350      6.04                          
Pavarde351     Vardas351      7.60                          
Pavarde354     Vardas354      6.76                          
Pavarde355     Vardas355      7.72                          
Pavarde357     Vardas357      5.92                          
Pavarde362     Vardas362      7.24                          
Pavarde364     Vardas364      5.00                          
Pavarde367     Vardas367      6.12                          
Pavarde368     Vardas368      6.48                          
Pavarde371     Vardas371      7.04                          
Pavarde372     Vardas372      5.28                          
Pavarde375     Vardas375      5.52                          
Pavarde376     Vardas376      6.08                          
Pavarde378     Vardas378      5.16                          
Pavarde379     Vardas379      7.04                          
Pavarde383     Vardas383      6.92                          
Pavarde385     Vardas385      6.12                          
Pavarde390     Vardas390      5.40                          
Pavarde392     Vardas392      7.56                          
Pavarde398     Vardas398      5.20                          
Pavarde399     Vardas399      8.12                          
Pavarde401     Vardas401      5.28                          
Pavarde402     Vardas402      5.76                          
Pavarde403     Vardas403      7.48                          
Pavarde410     Vardas410      5.16                          
Pavarde412     Vardas412      6.72                          
Pavarde416     Vardas416      7.48                          
Pavarde418     Vardas418      5.12                          
Pavarde420     Vardas420      7.16                          
Pavarde421     Vardas421      5.20                          
Pavarde428     Vardas428      5.28                          
Pavarde429     Vardas429      6.96                          
Pavarde432     Vardas432      5.24                          
Pavarde433     Vardas433      6.44                          
Pavarde434     Vardas434      7.56                          
Pavarde440     Vardas440      6.92                          
Pavarde442     Vardas442      6.64                          
Pavarde443     Vardas443      5.72                          
Pavarde447     Vardas447      6.76                          
Pavarde449     Vardas449      7.36                          
Pavarde451     Vardas451      5.72                          
Pavarde453     Vardas453      5.04                          
Pavarde457     Vardas457      5.40                          
Pavarde459     Vardas459      5.88                          
Pavarde463     Vardas463      6.04                          
Pavarde464     Vardas464      5.32                          
Pavarde466     Vardas466      6.12                          
Pavarde467     Vardas467      6.04                          
Pavarde468     Vardas468      6.96                          
Pavarde473     Vardas473      6.24                          
Pavarde475     Vardas475      6.84                          
Pavarde476     Vardas476      7.56                          
Pavarde479     Vardas479      7.16                          
Pavarde480     Vardas480      7.48                          
Pavarde482     Vardas482      6.56                          
Pavarde485     Vardas485      6.64                          
Pavarde488     Vardas488      6.88                          
Pavarde489     Vardas489      6.48                          
Pavarde491     Vardas491      6.84                          
Pavarde492     Vardas492      7.20                          
Pavarde495     Vardas495      6.84                          
Pavarde499     Vardas499      5.72                          
Pavarde500     Vardas500      6.24                          
Pavarde503     Vardas503      5.12                          
Pavarde508     Vardas508      6.00                          
Pavarde509     Vardas509      7.24                          
Pavarde511     Vardas511      5.32                          
Pavarde513     Vardas513      6.52                          
Pavarde518     Vardas518      6.44                          
Pavarde520     Vardas520      7.32                          
Pavarde522     Vardas522      5.08                          
Pavarde523     Vardas523      6.16                          
Pavarde527     Vardas527      5.76                          
Pavarde535     Vardas535      6.52                          
Pavarde537     Vardas537      5.72                          
Pavarde540     Vardas540      6.04                          
Pavarde545     Vardas545      5.08                          
Pavarde546     Vardas546      5.24                          
Pavarde547     Vardas547      5.24                          
Pavarde549     Vardas549      7.64                          
Pavarde550     Vardas550      8.28                          
Pavarde552     Vardas552      5.52                          
Pavarde556     Vardas556      7.00                          
Pavarde558     Vardas558      6.44                          
Pavarde561     Vardas561      5.48                          
Pavarde563     Vardas563      5.08                          
Pavarde564     Vardas564      6.32                          
Pavarde566     Vardas566      6.32                          
Pavarde567     Vardas567      7.48                          
Pavarde569     Vardas569      5.84                          
Pavarde570     Vardas570      5.36                          
Pavarde573     Vardas573      6.12                          
Pavarde581     Vardas581      6.12                          
Pavarde582     Vardas582      5.64                          
Pavarde583     Vardas583      5.44                          
Pavarde585     Vardas585      5.16                          
Pavarde588     Vardas588      5.32                          
Pavarde590     Vardas590      5.16                          
Pavarde591     Vardas591      6.48                          
Pavarde592     Vardas592      7.36                          
Pavarde594     Vardas594      6.56                          
Pavarde595     Vardas595      7.48                          
Pavarde598     Vardas598      5.72                          
Pavarde599     Vardas599      5.24                          
Pavarde600     Vardas600      6.72                          
Pavarde604     Vardas604      5.12                          
Pavarde606     Vardas606      5.28                          
Pavarde611     Vardas611      5.04                          
Pavarde615     Vardas615      5.00                          
Pavarde616     Vardas616      6.68                          
Pavarde628     Vardas628      7.88                          
Pavarde633     Vardas633      6.32                          
Pavarde640     Vardas640      7.64                          
Pavarde643     Vardas643      6.76                          
Pavarde647     Vardas647      6.24                          
Pavarde648     Vardas648      6.08                          
Pavarde649     Vardas649      7.48                          
Pavarde656     Vardas656      8.12                          
Pavarde659     Vardas659      5.12                          
Pavarde661     Vardas661      5.28                          
Pavarde665     Vardas665      6.68                          
Pavarde667     Vardas667      6.40                          
Pavarde669     Vardas669      5.36                          
Pavarde671     Vardas671      7.24                          
Pavarde677     Vardas677      6.60                          
Pavarde680     Vardas680      7.16                          
Pavarde681     Vardas681      5.80                          
Pavarde683     Vardas683      8.12                          
Pavarde685     Vardas685      5.16                          
Pavarde688     Vardas688      6.64                          
Pavarde693     Vardas693      6.60                          
Pavarde694     Vardas694      7.36                          
Pavarde695     Vardas695      6.00                          
Pavarde699     Vardas699      7.16                          
Pavarde704     Vardas704      5.16                          
Pavarde705     Vardas705      7.00                          
Pavarde706     Vardas706      5.12                          
Pavarde707     Vardas707      6.24                          
Pavarde708     Vardas708      5.80                          
Pavarde709     Vardas709      5.72                          
Pavarde710     Vardas710      6.16                          
Pavarde713     Vardas713      7.32                          
Pavarde714     Vardas714      7.12                          
Pavarde719     Vardas719      7.16                          
Pavarde721     Vardas721      6.28                          
Pavarde723     Vardas723      6.64                          
Pavarde726     Vardas726      7.56                          
Pavarde727     Vardas727      5.64                          
Pavarde730     Vardas730      8.44                          
Pavarde731     Vardas731      7.24                          
