Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas1             Pavarde1                 5     7     5     6     6     4
Vardas2             Pavarde2                 5     5     8     5     0     5
Vardas3             Pavarde3                 8     5     9    10    10     7
Vardas4             Pavarde4                 9     7     4     6     7     9
Vardas5             Pavarde5                 0     8     4     0     3     7
Vardas6             Pavarde6                 3     8     0     3    10     6
Vardas7             Pavarde7                 5     8     7     8     7     1
Vardas8             Pavarde8                 1     1     1     1     4     0
Vardas9             Pavarde9                 1     6     8     0     6     2
Vardas10            Pavarde10                3     5     1     3     9     9
Vardas11            Pavarde11                4     9     8     3     2     6
Vardas12            Pavarde12                5     0     0     5     5     7
Vardas13            Pavarde13                4     3     1     9     2     1
Vardas14            Pavarde14                6     7     7     5     7     2
Vardas15            Pavarde15                5     6     3     5     2     9
Vardas16            Pavarde16                7     3     2     2     1     4
Vardas17            Pavarde17                0     1     6     0     6     4
Vardas18            Pavarde18                8    10     9     7    10     5
Vardas19            Pavarde19               10     7     0     9     3     6
Vardas20            Pavarde20                5    10     7     7     9     8
Vardas21            Pavarde21                8     9     2     6     1     8
Vardas22            Pavarde22               10     9     3     8     6     5
Vardas23            Pavarde23                5     3     1     1    10     5
Vardas24            Pavarde24                2    10     8     6     4     7
Vardas25            Pavarde25                9     8     4     7     5     7
Vardas26            Pavarde26                2     7     0     7     2     8
Vardas27            Pavarde27                4    10     9     8     3     7
Vardas28            Pavarde28                7     2     5     8     5     1
Vardas29            Pavarde29                1     1     9    10     3    10
Vardas30            Pavarde30                1     2     4     0     3     6
Vardas31            Pavarde31                7     0     5     6     8     5
Vardas32            Pavarde32               10     0    10     4     1     5
Vardas33            Pavarde33                6     2     0     3     1     4
Vardas34            Pavarde34                2     7     7     7     2     0
Vardas35            Pavarde35                4     1     8     6     0    10
Vardas36            Pavarde36                3    10     2     8     7     7
Vardas37            Pavarde37                7     2    10     0     6     3
Vardas38            Pavarde38                6     0     5     6     0    10
Vardas39            Pavarde39               10     2     1     8     5    10
Vardas40            Pavarde40                7     9     9    10     9     4
Vardas41            Pavarde41                6     0     2     1     3    10
Vardas42            Pavarde42                0     4     9     9     7     0
Vardas43            Pavarde43                2     1     4     0     0     4
Vardas44            Pavarde44                7     2     8     7     7     4
Vardas45            Pavarde45                1     8     1     1    10     5
Vardas46            Pavarde46                7     9     6     7    10    10
Vardas47            Pavarde47                4     2     7     7     4     0
Vardas48            Pavarde48                7     7     4     5     2    10
Vardas49            Pavarde49                4     8     2     7     5     5
Vardas50            Pavarde50                3     6     1    10     9     9
Vardas51            Pavarde51                1     1     8     6    10     2
Vardas52            Pavarde52                4     9     0     4     4     9
Vardas53            Pavarde53                2     1     9     5     7     7
Vardas54            Pavarde54                2     2     6     1     8     6
Vardas55            Pavarde55                5     8     7     9     6     6
Vardas56            Pavarde56               10     8     0     8     5     1
Vardas57            Pavarde57                8     5     4     5     0     9
Vardas58            Pavarde58                3     9     5     9     1     3
Vardas59            Pavarde59                6     1    10     6     4     1
Vardas60            Pavarde60                3     7     0     9     2     2
Vardas61            Pavarde61                1     4     3     1     6     5
Vardas62            Pavarde62                1     2     5     4     9     8
Vardas63            Pavarde63                4     1     4     5     6     3
Vardas64            Pavarde64                4    10     3     5     6     8
Vardas65            Pavarde65                3     9     8     2    10     6
Vardas66            Pavarde66                4     2     5     2     4     8
Vardas67            Pavarde67                9     7    10     8     7    10
Vardas68            Pavarde68                4     7     5     1     6     8
Vardas69            Pavarde69                2     4     1     5     0     1
Vardas70            Pavarde70                6     7     6     6     7     2
Vardas71            Pavarde71               10     1     7     2     8     3
Vardas72            Pavarde72                7     4     2     4     4     5
Vardas73            Pavarde73                3     4     9     0     8     3
Vardas74            Pavarde74                8     7     3     3     4     6
Vardas75            Pavarde75                1     4     1     2     0     5
Vardas76            Pavarde76                3     2     3     8     3     0
Vardas77            Pavarde77                0     2     6     9     0     6
Vardas78            Pavarde78                6     7     0     4    10     1
Vardas79            Pavarde79               10     0     8     3     9     6
Vardas80            Pavarde80                7     9     2     2     4     4
Vardas81            Pavarde81                3     3     2     4     1     5
Vardas82            Pavarde82                8     2     0     9     7     9
Vardas83            Pavarde83                1     9    10     0     5     0
Vardas84            Pavarde84                4     9    10     4     5    10
Vardas85            Pavarde85                0     0     8     1     1     8
Vardas86            Pavarde86                8     4     8     5    10     5
Vardas87            Pavarde87                1     2     2     5    10     7
Vardas88            Pavarde88                3     7     6     0     4    10
Vardas89            Pavarde89                8     7     7    10     0     8
Vardas90            Pavarde90                8     0     7     9     2    10
Vardas91            Pavarde91                1     4     2     4     5    10
Vardas92            Pavarde92                6    10     0     7     2     9
Vardas93            Pavarde93                1     0     9     3     3     3
Vardas94            Pavarde94                2     7    10     0     7     4
Vardas95            Pavarde95                3     9     3     8     0     6
Vardas96            Pavarde96                8     4     2     2     0     8
Vardas97            Pavarde97                3     9     9     4     8     5
Vardas98            Pavarde98                8     2     2     1     5     0
Vardas99            Pavarde99                0     1     6     7     5     0
Vardas100           Pavarde100               9    10     6     4     9     9
Vardas101           Pavarde101               7     3     9     4     1     3
Vardas102           Pavarde102               2    10     7     4     8     6
Vardas103           Pavarde103               6     0     3     8     0     1
Vardas104           Pavarde104               0    10     2     7     5     2
Vardas105           Pavarde105              10     3     7     9     6    10
Vardas106           Pavarde106               1     8     2     9     2     2
Vardas107           Pavarde107               6     2    10     3     9     9
Vardas108           Pavarde108               9     6     8     6     9     4
Vardas109           Pavarde109               7     9     3     7     7     9
Vardas110           Pavarde110               1     0     3     4     8     1
Vardas111           Pavarde111               3     2     8     3     5     2
Vardas112           Pavarde112               2     7     4    10     3     7
Vardas113           Pavarde113               6     9     1     0     0     2
Vardas114           Pavarde114               7     6     1     1     7     4
Vardas115           Pavarde115               5     4     4     6     5     5
Vardas116           Pavarde116               8     2    10     1     6     3
Vardas117           Pavarde117               8     0     5     4     9     6
Vardas118           Pavarde118               1     6    10     4     2     3
Vardas119           Pavarde119               4     1     9     6     2     4
Vardas120           Pavarde120               4     1    10     1     4     8
Vardas121           Pavarde121               9     9     9     2     0     0
Vardas122           Pavarde122               0     5     0     8     2     6
Vardas123           Pavarde123               2    10     6     9     0    10
Vardas124           Pavarde124               9     3     7     7     6     9
Vardas125           Pavarde125               3     2     8     0     6     5
Vardas126           Pavarde126               0     4     8     5     8     9
Vardas127           Pavarde127               3     8     9    10     3     8
Vardas128           Pavarde128               3    10     3     7     6     3
Vardas129           Pavarde129               0    10     6     5     1    10
Vardas130           Pavarde130               9     9     7     9     7     2
Vardas131           Pavarde131               0     9     3     3     0     3
Vardas132           Pavarde132               6     4     6     3     4     8
Vardas133           Pavarde133               9     3     7     6     8     3
Vardas134           Pavarde134              10    10     7     8     3    10
Vardas135           Pavarde135               4     0     7     3    10     3
Vardas136           Pavarde136               7     3     3     3     1     5
Vardas137           Pavarde137               5    10    10     8    10     2
Vardas138           Pavarde138               3     0     1     3    10     6
Vardas139           Pavarde139               7     2     6    10     6     5
Vardas140           Pavarde140               2     2     2     7     1     9
Vardas141           Pavarde141              10     8     4     6     4     2
Vardas142           Pavarde142               2     4     5     1     1     2
Vardas143           Pavarde143               8     1     2     1     0     9
Vardas144           Pavarde144               2     3     3     7     6     4
Vardas145           Pavarde145               0     2     4    10     5     7
Vardas146           Pavarde146               2     4     9     9     3     8
Vardas147           Pavarde147              10     0     7     8     1     0
Vardas148           Pavarde148               4     1     6     1     2     4
Vardas149           Pavarde149               1     6     2     0     2     6
Vardas150           Pavarde150               5     5    10     5    10     5
Vardas151           Pavarde151               5     2     9     8     9     3
Vardas152           Pavarde152               0     2     4     8     2     3
Vardas153           Pavarde153               3    10     1     0     2     6
Vardas154           Pavarde154               2     3    10    10     8     4
Vardas155           Pavarde155              10     0     2     7    10     2
Vardas156           Pavarde156               8     8     3     1     9    10
Vardas157           Pavarde157               6     7     1    10     6     8
Vardas158           Pavarde158               5     1     5     0     3     0
Vardas159           Pavarde159               6     4     3     2     5     6
Vardas160           Pavarde160               5     5     5     8     6     4
Vardas161           Pavarde161               7     7    10     5     8     2
Vardas162           Pavarde162               3     1     5     1     0     5
Vardas163           Pavarde163               4     9     4    10     0     1
Vardas164           Pavarde164               5     3    10     7     9    10
Vardas165           Pavarde165               7     6     2     3     0     1
Vardas166           Pavarde166               3     2     1     5     4     5
Vardas167           Pavarde167               7     9    10     5     9     0
Vardas168           Pavarde168               1     1     3     8     7     2
Vardas169           Pavarde169               9     1     8     9     7     9
Vardas170           Pavarde170               2     2    10     1     5     3
Vardas171           Pavarde171              10     8     1     7     0     6
Vardas172           Pavarde172              10    10     0     7     6     1
Vardas173           Pavarde173               5     3     9     4     7     0
Vardas174           Pavarde174               9     5     8     6     0     2
Vardas175           Pavarde175               5     9     9     9     6     1
Vardas176           Pavarde176               2     7     8     9     5     5
Vardas177           Pavarde177               2     2     6     6     1     6
Vardas178           Pavarde178               1     7     0     9     6     9
Vardas179           Pavarde179               1     3     8     9     0    10
Vardas180           Pavarde180               8     5     2     7    10     7
Vardas181           Pavarde181               8     4     6     8     2     7
Vardas182           Pavarde182               3     6     9     2     3     1
Vardas183           Pavarde183               3     0     1     5     9     3
Vardas184           Pavarde184               8     5     7     7    10    10
Vardas185           Pavarde185               0     4     9     4     9     9
Vardas186           Pavarde186               7     8    10     7     7     1
Vardas187           Pavarde187               4    10     0     8     9     2
Vardas188           Pavarde188               6     3     3     6     5     0
Vardas189           Pavarde189               1     4     5     6     3     5
Vardas190           Pavarde190               0     9     4     3     4     5
Vardas191           Pavarde191              10     4     4     3     8     2
Vardas192           Pavarde192               7     5     5     8     4     1
Vardas193           Pavarde193               1     9     6    10     2     3
Vardas194           Pavarde194               9     1     5     4     4     5
Vardas195           Pavarde195               6     3     6     5     9     6
Vardas196           Pavarde196               5     1     8     2     1     4
Vardas197           Pavarde197               0     6     2     2    10     4
Vardas198           Pavarde198               9     7    10     5     8    10
Vardas199           Pavarde199              10     6     8     4     5     7
Vardas200           Pavarde200               4    10     9     5     1     1
Vardas201           Pavarde201               7     0     1     4     0     1
Vardas202           Pavarde202               1     4     0     9     8     5
Vardas203           Pavarde203               5     7     9     8     7     4
Vardas204           Pavarde204               1     5    10     0     1     8
Vardas205           Pavarde205               2     1     0     0    10     3
Vardas206           Pavarde206               1    10    10     3     1    10
Vardas207           Pavarde207               9     9     5     7     0    10
Vardas208           Pavarde208              10     7    10     9     0     5
Vardas209           Pavarde209              10     7     0     8     8     9
Vardas210           Pavarde210               4     0     9    10     1     0
Vardas211           Pavarde211              10     6     1     4     2    10
Vardas212           Pavarde212               7    10     5     6     2     7
Vardas213           Pavarde213               5     9    10     2     6     0
Vardas214           Pavarde214               7     4     5     3     6     7
Vardas215           Pavarde215               2     3     0     5    10     8
Vardas216           Pavarde216               1     2    10     3     4     7
Vardas217           Pavarde217               2     4     4     1     1    10
Vardas218           Pavarde218               6     0     3     2     3     9
Vardas219           Pavarde219               5     2     4     9     7     0
Vardas220           Pavarde220               0    10     3     2     9     0
Vardas221           Pavarde221               8     2     0     8     5     0
Vardas222           Pavarde222               6     5    10     8     3     9
Vardas223           Pavarde223               5     9     4     4     3     6
Vardas224           Pavarde224               3    10     2     4     5     5
Vardas225           Pavarde225               5     7     4     8     2     5
Vardas226           Pavarde226               1    10     6     7     0     3
Vardas227           Pavarde227               0     4     0     4     3     0
Vardas228           Pavarde228               3     2     4     6     8     6
Vardas229           Pavarde229              10     4     5     7     8     2
Vardas230           Pavarde230               4    10     7     3     7     9
Vardas231           Pavarde231               4     8     4     6     1     6
Vardas232           Pavarde232               1     2     8     8     9     1
Vardas233           Pavarde233               0     4     1     7     8     8
Vardas234           Pavarde234               7     3     3     8     8     3
Vardas235           Pavarde235              10     3     2     0     8     6
Vardas236           Pavarde236               0     6     5     8     0     3
Vardas237           Pavarde237               9     1     5     3     5     5
Vardas238           Pavarde238               7     5     4     2     6     4
Vardas239           Pavarde239               0     1    10     7     3     9
Vardas240           Pavarde240              10     3    10     9     5     5
Vardas241           Pavarde241               9     6     6     8     4     5
Vardas242           Pavarde242               7     7     1     0     9     0
Vardas243           Pavarde243               7     4     6     4     4     4
Vardas244           Pavarde244               3     1     8     1     6     7
Vardas245           Pavarde245               6     7     8     3     3     4
Vardas246           Pavarde246               4     3     0     2    10     2
Vardas247           Pavarde247               3     5     6     1     9     5
Vardas248           Pavarde248               6     8     9     6     8     9
Vardas249           Pavarde249               9     1     1     4     4     4
Vardas250           Pavarde250               4     4     5     8     7     7
Vardas251           Pavarde251               5     8     2     7     8     5
Vardas252           Pavarde252               5     9     3     5     1     5
